Disk Write Speed (MB/s),Disk Read Speed (MB/s),CPU Usage (%),CPU Temperature (°C),Clock Speed (GHz),Cache Miss Rate (%),Power Consumption (W)
223.84506382091584,300.018810338237,61.76872360480615,42.90110235404712,4.043528672667867,0.6717180194337213,108.51091524797678
193.3929953332847,275.2439140452437,58.750124069460725,53.65470916501814,2.0313117924133,1.1233661625012494,59.31410343848321
229.87538653103493,420.6015203897056,38.45315968583333,63.61695099369682,3.1158706964760237,0.9697607499943984,66.05296996746375
185.79179982563943,203.20791373818167,19.80013658841586,54.14244287232795,3.442147641938982,10.115979704445275,81.06688890451579
202.9796349215065,265.4301897566515,100.0,69.00100200242022,4.27729730515318,,101.04422735521204
254.51134203400525,196.83541927898483,47.17700655314388,50.45940657979708,1.990976780040298,2.6506862270354996,64.36201642463931
193.71312692753034,278.02516827468946,43.4852221363476,54.80654926840416,3.620061296913384,0.661856910411458,61.290420765877684
167.32038319779417,246.72738615551933,52.266689278106035,67.0320105468437,1.637464421326602,10.971755517053104,47.55974689382107
302.65287768155946,325.4253044434747,45.145428213779425,56.23084983515434,3.2017872885182346,4.362075422876464,68.93984035305242
187.64997975312107,195.81304368190533,52.454578154109676,56.726500396774036,3.4349656030974702,18.883205798484198,88.475732048765
138.23305223066853,278.31273705508187,75.73894572232838,53.56511546351187,4.019768651015558,1.6577568221627834,69.69870378159487
195.30289751890513,216.48124574575186,47.50903040627153,51.71059259197152,2.471496290992115,0.19057598153793964,51.30380839217569
142.42499047612463,173.42556289591099,26.74579121344477,,3.590080229016159,20.174995622086872,90.96958338282154
150.7880904164397,,46.76712411042778,64.83706294644625,1.7780858500427272,2.1772195874675173,70.61147973411252
221.50487230429607,114.03097742042917,40.711964371801784,62.27148437551283,2.167663606478373,2.9728802768888962,76.21606719236355
276.8401546463923,299.75427291714465,78.47797874493702,53.83816394446559,3.8204781986565814,0.45572867669321476,87.73920649000128
124.11346163346607,181.71670735757723,73.42238129475142,57.98508100086627,4.177958721877977,4.495073761655436,84.54269114804598
